Sex,MaritalStatus,Age,Education,Occupation,YearsInSf,DualIncome,HouseholdMembers,UnderEighteen,HouseholdStatus,TypeOfHome,EthnicClass,Language,Income
two,one,five,four,five,five,three,three,zero,one,one,seven,unknown,nine
one,one,five,five,five,five,three,five,two,one,one,seven,one,nine
two,one,three,five,one,five,two,three,one,two,three,seven,one,nine
two,five,one,two,six,five,one,four,two,three,one,seven,one,one
two,five,one,two,six,three,one,four,two,three,one,seven,one,one
one,one,six,four,eight,five,three,two,zero,one,one,seven,one,eight
one,five,two,three,nine,four,one,three,one,two,three,seven,one,one
one,three,three,four,three,five,one,one,zero,two,three,seven,one,six
one,one,six,three,eight,five,three,three,zero,two,three,seven,one,two
one,one,seven,four,eight,four,three,two,zero,two,three,seven,one,four
one,five,two,four,nine,five,one,one,zero,two,three,seven,one,one
two,two,two,three,two,five,one,two,zero,one,one,five,one,four
two,one,three,six,six,two,two,four,two,one,one,seven,one,eight
two,one,five,three,five,five,three,four,zero,two,one,seven,one,seven
one,four,six,three,unknown,five,one,one,zero,one,one,seven,unknown,four
two,one,five,four,one,five,two,two,two,one,one,seven,one,seven
two,three,three,three,two,two,one,two,one,two,three,seven,one,one
two,one,five,five,one,five,two,two,zero,one,one,seven,unknown,nine
two,one,five,three,five,one,three,two,zero,two,three,seven,one,eight
one,five,one,two,nine,unknown,one,four,two,three,one,seven,one,nine
one,three,four,two,three,four,one,two,zero,two,three,seven,one,two
two,one,four,four,two,five,three,five,three,one,one,five,two,nine
one,one,four,four,one,five,three,five,three,one,one,seven,one,eight
two,three,five,four,two,three,one,three,zero,two,five,seven,one,four
two,five,one,two,six,five,one,four,one,three,one,seven,one,one
one,one,three,five,one,five,two,three,one,two,three,seven,one,nine
one,one,four,four,one,five,two,three,zero,one,one,seven,one,seven
one,one,four,four,one,five,two,three,one,one,one,seven,one,nine
one,one,four,six,one,unknown,two,three,one,one,one,seven,one,six
two,three,seven,three,eight,five,one,one,zero,one,five,seven,one,four
two,three,four,five,one,four,one,five,three,one,one,seven,one,six
two,one,four,four,one,four,two,four,two,two,one,seven,one,eight
two,five,one,two,six,five,one,four,two,three,one,seven,one,one
two,five,one,two,six,five,one,three,one,three,one,seven,one,one
one,five,one,two,six,five,one,six,four,three,one,seven,one,one
two,one,four,four,five,unknown,three,six,four,one,one,seven,one,eight
two,one,seven,three,five,five,three,two,zero,one,one,seven,one,two
two,one,four,three,five,one,three,three,one,one,one,seven,one,eight
one,one,five,six,one,five,two,four,zero,one,one,seven,one,nine
two,three,four,five,one,three,one,two,one,two,three,two,three,five
two,four,six,six,one,one,one,one,zero,two,three,seven,one,two
one,five,one,two,six,five,one,five,two,three,one,seven,one,one
