Hair,Feathers,Eggs,Milk,Airborne,Aquatic,Predator,Toothed,Backbone,Breathes,Venomous,Fins,Legs,Tail,Domestic,Catsize,AnimalType
True,False,False,True,False,False,True,True,True,True,False,False,Four,True,False,True,One
True,False,False,True,False,True,True,True,True,True,False,True,Two,True,False,True,One
True,False,False,True,False,False,True,True,True,True,False,False,Four,True,False,False,One
True,False,False,True,False,False,False,True,True,True,False,False,Four,True,False,True,One
False,False,True,False,False,True,True,True,True,False,False,True,Unknown,True,False,False,Four
False,False,True,False,False,False,False,False,False,True,False,False,Unknown,False,False,False,Seven
False,True,True,False,True,False,False,False,True,True,False,False,Two,True,True,False,Two
False,True,True,False,True,True,True,False,True,True,False,False,Two,True,False,False,Two
False,False,True,False,False,True,True,True,True,False,False,True,Unknown,True,False,True,Four
True,False,False,True,False,False,True,True,True,True,False,False,Four,True,False,True,One
True,False,False,True,False,True,True,True,True,True,False,True,Unknown,False,False,True,One
True,False,True,True,False,True,True,False,True,True,False,False,Four,True,False,True,One
True,False,False,True,False,False,False,True,True,True,False,False,Four,True,True,True,One
False,False,True,False,False,True,False,True,True,False,False,True,Unknown,True,False,False,Four
False,False,True,False,False,True,True,False,False,False,True,False,Unknown,False,False,False,Seven
False,True,True,False,True,True,False,False,True,True,False,False,Two,True,False,False,Two
False,True,True,False,True,False,False,False,True,True,False,False,Two,True,True,False,Two
True,False,False,True,False,False,True,True,True,True,False,False,Four,True,False,True,One
True,False,False,True,False,False,False,True,True,True,False,False,Four,True,True,False,One
True,False,False,True,False,False,True,True,True,True,False,False,Four,False,False,True,One
True,False,False,True,False,False,True,True,True,True,False,False,Four,True,False,True,One
False,False,True,False,False,True,True,True,True,False,False,True,Unknown,True,False,True,Four
False,False,True,False,False,False,False,False,False,True,False,False,Unknown,False,False,False,Seven
False,True,True,False,True,True,True,False,True,True,False,False,Two,True,False,False,Two
False,True,True,False,True,False,True,False,True,True,False,False,Two,True,False,True,Two
True,False,False,True,False,False,True,True,True,True,False,False,Four,True,True,True,One
True,False,False,True,False,False,False,True,True,True,False,False,Four,True,False,False,One
True,False,False,True,False,False,True,True,True,True,False,False,Four,True,False,False,One
True,False,False,True,False,False,True,True,True,True,False,False,Four,True,False,True,One
False,False,True,False,False,True,True,True,True,False,True,True,Unknown,True,False,True,Four
False,False,True,False,False,True,True,False,False,False,False,False,Eight,False,False,True,Seven
False,True,True,False,True,False,False,False,True,True,False,False,Two,True,False,True,Two
False,True,True,False,True,False,False,False,True,True,False,False,Two,True,False,False,Two
False,False,True,False,False,False,False,False,False,True,False,False,Six,False,False,False,Six
False,False,True,False,False,False,True,True,True,True,False,False,Four,True,False,False,Three
True,False,False,True,False,False,False,True,True,True,False,False,Two,True,False,False,One
True,False,False,True,False,False,False,True,True,True,False,False,Four,True,True,True,One
True,False,False,True,False,False,True,True,True,True,False,False,Four,False,False,True,One
True,False,False,True,True,False,False,True,True,True,False,False,Two,True,False,False,One
False,False,True,False,False,True,False,True,True,False,False,True,Unknown,True,True,False,Four
False,False,True,False,False,True,True,False,False,False,False,False,Five,False,False,False,Seven
False,True,True,False,False,True,True,False,True,True,False,False,Two,True,False,True,Two
False,True,True,False,False,False,True,False,True,True,False,False,Two,True,False,True,Two
False,False,True,False,False,True,True,True,True,False,False,True,Unknown,True,False,False,Four
True,False,False,True,False,False,False,True,True,True,False,False,Four,True,False,True,One
True,False,False,True,False,False,False,True,True,True,False,False,Two,False,False,True,One
True,False,False,True,False,False,True,True,True,True,False,False,Four,True,False,True,One
False,False,False,True,False,True,True,True,True,True,False,True,Unknown,True,False,True,One
False,False,True,False,False,True,True,True,True,False,False,True,Unknown,True,False,False,Four
False,False,False,False,False,False,True,False,False,True,True,False,Eight,True,False,False,Seven
False,True,True,False,True,False,True,False,True,True,False,False,Two,True,False,False,Two
False,True,True,False,False,False,True,False,True,True,False,False,Two,True,False,False,Two
False,False,True,False,True,False,True,False,False,True,False,False,Six,False,False,False,Six
False,False,True,False,False,True,True,True,True,False,False,True,Unknown,True,False,True,Four
True,False,False,True,False,False,False,True,True,True,False,False,Four,True,False,True,One
True,False,False,True,False,False,False,True,True,True,False,False,Four,True,False,True,One
True,False,False,True,False,False,False,True,True,True,False,False,Four,True,False,False,One
True,False,False,True,False,False,False,True,True,True,False,False,Four,True,False,True,One
False,False,True,False,False,True,True,True,True,False,False,True,Unknown,True,False,False,Four
False,False,True,False,False,True,True,False,False,False,False,False,Four,False,False,False,Seven
False,True,True,False,True,False,True,False,True,True,False,False,Two,True,False,False,Two
False,True,True,False,True,False,False,False,True,True,False,False,Two,True,False,False,Two
False,False,True,False,False,False,False,False,False,True,False,False,Six,False,False,False,Six
True,False,True,False,True,False,False,False,False,True,True,False,Six,False,False,False,Six
True,False,False,True,False,False,False,True,True,True,False,False,Two,True,False,True,One
False,False,False,False,False,True,True,True,True,False,True,False,Unknown,True,False,False,Three
False,False,True,False,False,False,True,True,True,True,False,False,Unknown,True,False,False,Three
False,False,True,False,False,False,False,False,True,True,False,False,Four,True,False,True,Three
False,False,True,False,False,True,True,True,True,True,False,False,Four,False,False,False,Five
True,False,False,True,False,False,True,True,True,True,False,False,Four,True,False,True,One
True,False,False,True,False,False,True,True,True,True,False,False,Two,False,True,True,One
True,False,False,True,False,False,True,True,True,True,False,False,Four,True,False,True,One
True,False,False,True,False,False,False,True,True,True,False,False,Four,False,True,False,One
False,False,True,False,False,True,False,True,True,False,False,True,Unknown,True,False,False,Four
False,False,True,False,False,False,True,False,False,False,False,False,Unknown,False,False,False,Seven
False,True,True,False,True,False,False,False,True,True,False,False,Two,True,True,False,Two
False,True,True,False,True,True,False,False,True,True,False,False,Two,True,False,True,Two
True,False,False,True,False,True,True,True,True,True,False,False,Four,True,False,True,One
True,False,False,True,False,False,True,True,True,True,False,False,Four,True,False,True,One
True,False,False,True,False,False,False,True,True,True,False,False,Four,True,False,True,One
True,False,False,True,False,False,False,True,True,True,False,False,Four,True,True,True,One
False,False,True,False,False,True,False,True,True,False,False,True,Unknown,True,False,False,Four
False,False,True,False,False,True,True,False,False,False,False,False,Six,False,False,False,Seven
False,True,True,False,False,False,False,False,True,True,False,False,Two,True,False,True,Two
False,True,True,False,True,False,False,False,True,True,False,False,Two,True,False,False,Two
True,False,True,False,True,False,False,False,False,True,True,False,Six,False,True,False,Six
True,False,True,False,True,False,False,False,False,True,False,False,Six,False,False,False,Six
False,False,True,False,False,False,True,True,True,True,True,False,Unknown,True,False,False,Three
False,False,True,False,False,True,False,True,True,True,False,False,Four,False,False,False,Five
False,False,False,True,False,True,True,True,True,True,False,True,Unknown,True,False,True,One
True,False,False,True,False,False,True,True,True,True,False,False,Four,True,False,True,One
True,False,False,True,True,False,False,True,True,True,False,False,Two,True,False,False,One
True,False,False,True,False,False,False,True,True,True,False,False,Four,True,True,True,One
False,False,True,False,False,True,True,True,True,False,False,True,Unknown,True,False,False,Four
False,False,True,False,False,True,True,False,False,False,False,False,Six,False,False,False,Seven
False,True,True,False,True,False,False,False,True,True,False,False,Two,True,False,False,Two
False,True,True,False,True,True,True,False,True,True,False,False,Two,True,False,False,Two
False,False,True,False,True,False,False,False,False,True,False,False,Six,False,False,False,Six
True,False,True,False,True,False,False,False,False,True,False,False,Six,False,False,False,Six
False,False,True,False,False,True,True,True,True,True,True,False,Four,False,False,False,Five
False,False,True,False,False,True,True,True,True,True,False,False,Four,True,False,False,Five
