ArgumentationID,ArgumentID,ProponentID,Step,Timestamp
0,0,ArgAgent2,1,1381942582033
0,0,ArgAgent1,1,1381942582072
0,2,ArgAgent2,2,1381942582178
1,0,ArgAgent2,4,1381942582223
1,0,ArgAgent1,4,1381942582300
1,1,ArgAgent2,5,1381942582322
2,0,ArgAgent1,7,1381942582362
2,0,ArgAgent2,7,1381942582370
2,1,ArgAgent1,8,1381942582381
3,0,ArgAgent2,10,1381942582426
3,0,ArgAgent1,10,1381942582433
3,1,ArgAgent2,11,1381942582449
4,0,ArgAgent1,13,1381942582471
4,0,ArgAgent2,13,1381942582502
4,2,ArgAgent1,14,1381942582512
5,0,ArgAgent2,16,1381942582549
5,0,ArgAgent1,16,1381942582554
5,1,ArgAgent2,17,1381942582580
6,0,ArgAgent1,19,1381942582604
6,0,ArgAgent2,19,1381942582626
6,2,ArgAgent1,20,1381942582639
7,0,ArgAgent1,22,1381942582673
7,0,ArgAgent2,22,1381942582680
7,1,ArgAgent1,23,1381942582692
8,0,ArgAgent1,25,1381942582726
8,0,ArgAgent2,25,1381942582732
8,2,ArgAgent1,26,1381942582744
9,0,ArgAgent1,28,1381942582768
9,0,ArgAgent2,28,1381942582795
9,2,ArgAgent1,29,1381942582809
10,0,ArgAgent1,31,1381942582831
10,0,ArgAgent2,31,1381942582838
10,2,ArgAgent1,32,1381942582866
11,0,ArgAgent2,34,1381942582888
11,0,ArgAgent1,34,1381942582893
11,1,ArgAgent2,35,1381942582919
12,0,ArgAgent1,37,1381942582940
12,0,ArgAgent2,37,1381942582946
12,1,ArgAgent1,38,1381942582971
13,0,ArgAgent2,40,1381942582992
13,0,ArgAgent1,40,1381942583011
13,2,ArgAgent2,41,1381942583027
14,0,ArgAgent1,43,1381942583050
14,0,ArgAgent2,43,1381942583058
14,1,ArgAgent1,44,1381942583073
15,0,ArgAgent2,46,1381942583094
15,0,ArgAgent1,46,1381942583113
15,2,ArgAgent2,47,1381942583131
16,0,ArgAgent2,49,1381942583150
16,0,ArgAgent1,49,1381942583171
16,1,ArgAgent2,50,1381942583190
17,0,ArgAgent2,52,1381942583211
17,0,ArgAgent1,52,1381942583234
17,2,ArgAgent2,53,1381942583260
18,0,ArgAgent2,55,1381942583314
18,0,ArgAgent1,55,1381942583320
18,2,ArgAgent2,56,1381942583338
19,0,ArgAgent2,58,1381942583359
19,0,ArgAgent1,58,1381942583364
19,2,ArgAgent2,59,1381942583393
20,0,ArgAgent2,61,1381942583412
20,0,ArgAgent1,61,1381942583417
20,2,ArgAgent2,62,1381942583445
21,0,ArgAgent2,64,1381942583475
21,0,ArgAgent1,64,1381942583480
21,2,ArgAgent2,65,1381942583498
22,0,ArgAgent2,67,1381942583516
22,0,ArgAgent1,67,1381942583532
22,2,ArgAgent2,68,1381942583547
23,0,ArgAgent1,70,1381942583568
23,0,ArgAgent2,70,1381942583586
23,2,ArgAgent1,71,1381942583596
24,0,ArgAgent1,73,1381942583620
24,0,ArgAgent2,73,1381942583625
24,2,ArgAgent1,74,1381942583646
25,0,ArgAgent2,76,1381942583663
25,0,ArgAgent1,76,1381942583667
25,2,ArgAgent2,77,1381942583697
26,0,ArgAgent1,79,1381942583709
26,0,ArgAgent2,79,1381942583721
26,1,ArgAgent1,80,1381942583728
27,0,ArgAgent1,82,1381942583748
27,0,ArgAgent2,82,1381942583754
27,1,ArgAgent1,83,1381942583768
28,0,ArgAgent1,85,1381942583783
28,0,ArgAgent2,85,1381942583795
28,1,ArgAgent1,86,1381942583801
29,0,ArgAgent1,88,1381942583813
29,0,ArgAgent2,88,1381942583818
29,1,ArgAgent1,89,1381942583834
30,0,ArgAgent2,91,1381942583849
30,0,ArgAgent1,91,1381942583860
30,2,ArgAgent2,92,1381942583871
31,0,ArgAgent2,94,1381942583888
31,0,ArgAgent1,94,1381942583904
31,1,ArgAgent2,95,1381942583919
32,0,ArgAgent1,97,1381942583936
32,0,ArgAgent2,97,1381942583942
32,2,ArgAgent1,98,1381942583960
33,0,ArgAgent2,100,1381942583981
33,0,ArgAgent1,100,1381942583984
33,2,ArgAgent2,101,1381942583995
34,0,ArgAgent2,103,1381942584020
34,0,ArgAgent1,103,1381942584023
34,2,ArgAgent2,104,1381942584033
35,0,ArgAgent2,106,1381942584054
35,0,ArgAgent1,106,1381942584059
35,1,ArgAgent2,107,1381942584071
36,0,ArgAgent1,109,1381942584083
36,0,ArgAgent2,109,1381942584087
36,2,ArgAgent1,110,1381942584104
37,0,ArgAgent2,112,1381942584117
37,0,ArgAgent1,112,1381942584122
37,1,ArgAgent2,113,1381942584151
38,0,ArgAgent1,115,1381942584165
38,0,ArgAgent2,115,1381942584188
38,1,ArgAgent1,116,1381942584197
39,0,ArgAgent2,118,1381942584220
39,0,ArgAgent1,118,1381942584224
39,1,ArgAgent2,119,1381942584250
40,0,ArgAgent2,121,1381942584263
40,0,ArgAgent1,121,1381942584267
40,2,ArgAgent2,122,1381942584286
41,0,ArgAgent1,124,1381942584297
41,0,ArgAgent2,124,1381942584301
41,2,ArgAgent1,125,1381942584314
42,0,ArgAgent2,127,1381942584333
42,0,ArgAgent1,127,1381942584335
42,1,ArgAgent2,128,1381942584347
43,0,ArgAgent1,130,1381942584365
43,0,ArgAgent2,130,1381942584369
43,2,ArgAgent1,131,1381942584377
44,0,ArgAgent1,133,1381942584387
44,0,ArgAgent2,133,1381942584404
44,1,ArgAgent1,134,1381942584409
45,0,ArgAgent2,136,1381942584425
45,0,ArgAgent1,136,1381942584430
45,1,ArgAgent2,137,1381942584449
46,0,ArgAgent2,139,1381942584461
46,0,ArgAgent1,139,1381942584465
46,2,ArgAgent2,140,1381942584488
47,0,ArgAgent2,142,1381942584568
47,0,ArgAgent1,142,1381942584579
47,1,ArgAgent2,143,1381942584588
48,0,ArgAgent2,145,1381942584601
48,0,ArgAgent1,145,1381942584614
48,1,ArgAgent2,146,1381942584625
49,0,ArgAgent1,148,1381942584645
49,0,ArgAgent2,148,1381942584650
49,1,ArgAgent1,149,1381942584659
50,0,ArgAgent1,151,1381942584671
50,0,ArgAgent2,151,1381942584683
50,2,ArgAgent1,152,1381942584692
51,0,ArgAgent2,154,1381942584706
51,0,ArgAgent1,154,1381942584709
51,1,ArgAgent2,155,1381942584735
52,0,ArgAgent1,157,1381942584754
52,0,ArgAgent2,157,1381942584758
52,1,ArgAgent1,158,1381942584764
53,0,ArgAgent2,160,1381942584775
53,0,ArgAgent1,160,1381942584784
53,2,ArgAgent2,161,1381942584795
54,0,ArgAgent1,163,1381942584812
54,0,ArgAgent2,163,1381942584816
54,2,ArgAgent1,164,1381942584824
55,0,ArgAgent2,166,1381942587896
55,0,ArgAgent1,166,1381942587899
55,1,ArgAgent2,167,1381942587915
56,0,ArgAgent2,169,1381942587933
56,0,ArgAgent1,169,1381942587936
56,2,ArgAgent2,170,1381942587945
57,0,ArgAgent2,172,1381942587962
57,0,ArgAgent1,172,1381942587965
57,1,ArgAgent2,173,1381942587974
58,0,ArgAgent2,175,1381942587988
58,0,ArgAgent1,175,1381942587999
58,1,ArgAgent2,176,1381942588008
59,0,ArgAgent1,178,1381942588017
59,0,ArgAgent2,178,1381942588028
59,2,ArgAgent1,179,1381942588032
60,0,ArgAgent2,181,1381942588046
60,0,ArgAgent1,181,1381942588050
60,2,ArgAgent2,182,1381942588066
61,0,ArgAgent1,184,1381942588083
61,0,ArgAgent2,184,1381942588086
61,2,ArgAgent1,185,1381942588091
62,0,ArgAgent1,187,1381942588114
62,0,ArgAgent2,187,1381942588119
62,1,ArgAgent1,188,1381942588124
63,0,ArgAgent2,190,1381942588134
63,0,ArgAgent1,190,1381942588136
63,2,ArgAgent2,191,1381942588153
64,0,ArgAgent2,193,1381942588163
64,0,ArgAgent1,193,1381942588166
64,1,ArgAgent2,194,1381942588183
65,0,ArgAgent2,196,1381942588193
65,0,ArgAgent1,196,1381942588196
65,2,ArgAgent2,197,1381942588219
66,0,ArgAgent1,199,1381942588241
66,0,ArgAgent2,199,1381942588244
66,2,ArgAgent1,200,1381942588250
67,0,ArgAgent2,202,1381942588262
67,0,ArgAgent1,202,1381942588274
67,2,ArgAgent2,203,1381942588284
68,0,ArgAgent1,205,1381942588304
68,0,ArgAgent2,205,1381942588308
68,1,ArgAgent1,206,1381942588314
69,0,ArgAgent1,208,1381942588328
69,0,ArgAgent2,208,1381942588342
69,2,ArgAgent1,209,1381942588347
70,0,ArgAgent1,211,1381942588359
70,0,ArgAgent2,211,1381942588363
70,1,ArgAgent1,212,1381942588378
71,0,ArgAgent2,214,1381942588400
71,0,ArgAgent1,214,1381942588403
71,2,ArgAgent2,215,1381942588413
72,0,ArgAgent2,217,1381942588437
72,0,ArgAgent1,217,1381942588440
72,2,ArgAgent2,218,1381942588450
73,0,ArgAgent2,220,1381942588469
73,0,ArgAgent1,220,1381942588472
73,2,ArgAgent2,221,1381942588484
74,0,ArgAgent2,223,1381942588497
74,0,ArgAgent1,223,1381942588499
74,2,ArgAgent2,224,1381942588515
75,0,ArgAgent1,226,1381942588524
75,0,ArgAgent2,226,1381942588534
75,1,ArgAgent1,227,1381942588539
76,0,ArgAgent2,229,1381942588551
76,0,ArgAgent1,229,1381942588561
76,2,ArgAgent2,230,1381942588570
77,0,ArgAgent1,232,1381942588579
77,0,ArgAgent2,232,1381942588592
77,1,ArgAgent1,233,1381942588597
78,0,ArgAgent1,235,1381942588621
78,0,ArgAgent2,235,1381942588627
78,2,ArgAgent1,236,1381942588632
79,0,ArgAgent1,238,1381942588644
79,0,ArgAgent2,238,1381942588660
79,2,ArgAgent1,239,1381942588669
80,0,ArgAgent2,241,1381942588685
80,0,ArgAgent1,241,1381942588690
80,1,ArgAgent2,242,1381942588716
81,0,ArgAgent1,244,1381942588731
81,0,ArgAgent2,244,1381942588736
81,2,ArgAgent1,245,1381942588748
82,0,ArgAgent1,247,1381942588757
82,0,ArgAgent2,247,1381942588770
82,1,ArgAgent1,248,1381942588778
83,0,ArgAgent2,250,1381942588796
83,0,ArgAgent1,250,1381942588800
83,1,ArgAgent2,251,1381942588810
84,0,ArgAgent2,253,1381942588824
84,0,ArgAgent1,253,1381942588827
84,1,ArgAgent2,254,1381942588848
85,0,ArgAgent2,256,1381942588860
85,0,ArgAgent1,256,1381942588870
85,2,ArgAgent2,257,1381942588886
86,0,ArgAgent1,259,1381942588904
86,0,ArgAgent2,259,1381942588917
86,1,ArgAgent1,260,1381942588924
87,0,ArgAgent1,262,1381942588938
87,0,ArgAgent2,262,1381942588941
87,1,ArgAgent1,263,1381942588953
88,0,ArgAgent1,265,1381942588967
88,0,ArgAgent2,265,1381942588981
88,2,ArgAgent1,266,1381942588990
89,0,ArgAgent2,268,1381942589006
89,0,ArgAgent1,268,1381942589010
89,2,ArgAgent2,269,1381942589034
90,0,ArgAgent1,271,1381942589049
90,0,ArgAgent2,271,1381942589063
90,2,ArgAgent1,272,1381942589070
91,0,ArgAgent2,274,1381942589083
91,0,ArgAgent1,274,1381942589098
91,1,ArgAgent2,275,1381942589114
92,0,ArgAgent2,277,1381942589152
92,0,ArgAgent1,277,1381942589154
92,2,ArgAgent2,278,1381942589168
93,0,ArgAgent1,280,1381942589182
93,0,ArgAgent2,280,1381942589185
93,1,ArgAgent1,281,1381942589199
94,0,ArgAgent2,283,1381942589220
94,0,ArgAgent1,283,1381942589223
94,2,ArgAgent2,284,1381942589236
95,0,ArgAgent2,286,1381942589246
95,0,ArgAgent1,286,1381942589255
95,1,ArgAgent2,287,1381942589265
96,0,ArgAgent1,289,1381942589285
96,0,ArgAgent2,289,1381942589289
96,1,ArgAgent1,290,1381942589294
